GEO_ID,NAME,Total_Women_15to50,aged 15 to 19,Prop 15-19,aged 20 to 34,Prop 20-34,aged 35 to 50,Prop 35-50
6001,"Alameda County, California",427733,46562,10.89,188101,43.98,193070,45.14
6003,"Alpine County, California",174,37,21.26,43,24.71,94,54.02
6005,"Amador County, California",5754,858,14.91,2283,39.68,2613,45.41
6007,"Butte County, California",52862,7714,14.59,26142,49.45,19006,35.95
6009,"Calaveras County, California",7655,1016,13.27,2978,38.9,3661,47.82
6011,"Colusa County, California",4664,794,17.02,1914,41.04,1956,41.94
6013,"Contra Costa County, California",269717,35662,13.22,105355,39.06,128700,47.72
6015,"Del Norte County, California",5185,949,18.3,1946,37.53,2290,44.17
6017,"El Dorado County, California",37492,5410,14.43,13703,36.55,18379,49.02
6019,"Fresno County, California",239042,35480,14.84,108816,45.52,94746,39.64
6021,"Glenn County, California",6132,983,16.03,2519,41.08,2630,42.89
6023,"Humboldt County, California",32311,4501,13.93,15326,47.43,12484,38.64
6025,"Imperial County, California",40738,6620,16.25,17527,43.02,16591,40.73
6027,"Inyo County, California",3318,373,11.24,1421,42.83,1524,45.93
6029,"Kern County, California",209010,31877,15.25,94303,45.12,82830,39.63
6031,"Kings County, California",32966,4931,14.96,15405,46.73,12630,38.31
6033,"Lake County, California",12243,1861,15.2,4697,38.36,5685,46.43
6035,"Lassen County, California",4154,574,13.82,1744,41.98,1836,44.2
6037,"Los Angeles County, California",2577554,315646,12.25,1151226,44.66,1110682,43.09
6039,"Madera County, California",38733,5293,13.67,17123,44.21,16317,42.13
6041,"Marin County, California",51327,7218,14.06,16222,31.61,27887,54.33
6043,"Mariposa County, California",2948,275,9.33,1287,43.66,1386,47.01
6045,"Mendocino County, California",17655,2472,14,7010,39.71,8173,46.29
6047,"Merced County, California",66106,11490,17.38,28532,43.16,26084,39.46
6049,"Modoc County, California",1473,160,10.86,703,47.73,610,41.41
6051,"Mono County, California",3276,584,17.83,1412,43.1,1280,39.07
6053,"Monterey County, California",100576,15354,15.27,44029,43.78,41193,40.96
6055,"Napa County, California",31293,4429,14.15,12582,40.21,14282,45.64
6057,"Nevada County, California",17483,2476,14.16,6611,37.81,8396,48.02
6059,"Orange County, California",777250,101633,13.08,326856,42.05,348761,44.87
6061,"Placer County, California",84310,11893,14.11,30756,36.48,41661,49.41
6063,"Plumas County, California",3118,434,13.92,1159,37.17,1525,48.91
6065,"Riverside County, California",580306,87226,15.03,245955,42.38,247125,42.59
6067,"Sacramento County, California",375388,46231,12.32,167783,44.7,161374,42.99
6069,"San Benito County, California",14475,2193,15.15,5947,41.08,6335,43.77
6071,"San Bernardino County, California",536529,76423,14.24,239014,44.55,221092,41.21
6073,"San Diego County, California",815716,99405,12.19,373737,45.82,342574,42
6075,"San Francisco County, California",236518,15593,6.59,123317,52.14,97608,41.27
6077,"San Joaquin County, California",178373,26765,15.01,75423,42.28,76185,42.71
6079,"San Luis Obispo County, California",62311,10899,17.49,28331,45.47,23081,37.04
6081,"San Mateo County, California",182548,19552,10.71,74861,41.01,88135,48.28
6083,"Santa Barbara County, California",109180,19098,17.49,51274,46.96,38808,35.54
6085,"Santa Clara County, California",474154,55668,11.74,201041,42.4,217445,45.86
6087,"Santa Cruz County, California",67553,11648,17.24,29596,43.81,26309,38.95
6089,"Shasta County, California",37300,4932,13.22,16269,43.62,16099,43.16
6091,"Sierra County, California",436,42,9.63,132,30.28,262,60.09
6093,"Siskiyou County, California",7673,1143,14.9,3080,40.14,3450,44.96
6095,"Solano County, California",101768,12939,12.71,44882,44.1,43947,43.18
6097,"Sonoma County, California",110553,14812,13.4,45657,41.3,50084,45.3
6099,"Stanislaus County, California",130452,19084,14.63,56900,43.62,54468,41.75
6101,"Sutter County, California",21942,3114,14.19,9545,43.5,9283,42.31
6103,"Tehama County, California",13180,1893,14.36,5439,41.27,5848,44.37
6105,"Trinity County, California",2138,281,13.14,643,30.07,1214,56.78
6107,"Tulare County, California",111085,18266,16.44,48774,43.91,44045,39.65
6109,"Tuolumne County, California",9287,1205,12.98,3857,41.53,4225,45.49
6111,"Ventura County, California",198490,28063,14.14,82804,41.72,87623,44.14
6113,"Yolo County, California",61729,11036,17.88,30640,49.64,20053,32.49
6115,"Yuba County, California",17812,2303,12.93,8313,46.67,7196,40.4
0400000US06,California,9621148,1255373,13.05,4222945,43.89,4142830,43.06
