Start_Date,End_Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2022-02-02,2022-02-02,AirNow,370670030,3,50.3,ug/m3 LC,137,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-28,2022-01-28,AirNow,370670030,3,20.7,ug/m3 LC,69,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-12,2022-02-12,AirNow,370670030,3,17.8,ug/m3 LC,63,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-02,2022-02-02,AirNow,370670022,3,16.8,ug/m3 LC,61,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-23,2022-01-23,AirNow,370670030,3,16.1,ug/m3 LC,59,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-03,2022-02-03,AirNow,370670030,3,15.3,ug/m3 LC,58,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-12,2022-02-12,AirNow,370670022,3,15.5,ug/m3 LC,58,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-28,2022-01-28,AirNow,370670022,3,15,ug/m3 LC,57,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-19,2022-01-19,AirNow,370670030,3,13.9,ug/m3 LC,55,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-25,2022-01-25,AirNow,370670030,3,13.3,ug/m3 LC,54,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-31,2022-01-31,AirNow,370670030,3,13.4,ug/m3 LC,54,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-01,2022-02-01,AirNow,370670030,3,13.5,ug/m3 LC,54,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-03,2022-02-03,AirNow,370670022,3,13.6,ug/m3 LC,54,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-27,2022-01-27,AirNow,370670030,3,13.2,ug/m3 LC,53,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-13,2022-01-13,AirNow,370670030,3,12.6,ug/m3 LC,52,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-15,2022-01-15,AirNow,370670030,3,12.7,ug/m3 LC,52,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-12,2022-01-12,AirNow,370670030,3,12.3,ug/m3 LC,51,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-24,2022-01-24,AirNow,370670030,3,12.1,ug/m3 LC,51,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-15,2022-02-15,AirNow,370670030,3,11.5,ug/m3 LC,48,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-14,2022-01-14,AirNow,370670030,3,10.8,ug/m3 LC,45,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-20,2022-01-20,AirNow,370670030,3,10.7,ug/m3 LC,45,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-01,2022-02-01,AirNow,370670022,3,10.9,ug/m3 LC,45,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-16,2022-02-16,AirNow,370670030,3,10.9,ug/m3 LC,45,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-22,2022-02-22,AirNow,370670030,3,10.7,ug/m3 LC,45,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-19,2022-01-19,AirNow,370670022,3,10.6,ug/m3 LC,44,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-23,2022-01-23,AirNow,370670022,3,10.5,ug/m3 LC,44,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-11,2022-02-11,AirNow,370670030,3,10.6,ug/m3 LC,44,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-08,2022-01-08,AirNow,370670030,3,10.4,ug/m3 LC,43,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-09,2022-01-09,AirNow,370670030,3,10.2,ug/m3 LC,43,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-27,2022-01-27,AirNow,370670022,3,10.1,ug/m3 LC,42,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-21,2022-02-21,AirNow,370670030,3,9.8,ug/m3 LC,41,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-25,2022-01-25,AirNow,370670022,3,9.6,ug/m3 LC,40,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-07,2022-02-07,AirNow,370670030,3,9.6,ug/m3 LC,40,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-08,2022-02-08,AirNow,370670030,3,9.5,ug/m3 LC,40,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-06,2022-01-06,AirNow,370670030,3,9.4,ug/m3 LC,39,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-13,2022-01-13,AirNow,370670022,3,9.4,ug/m3 LC,39,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-15,2022-01-15,AirNow,370670022,3,9.3,ug/m3 LC,39,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-30,2022-01-30,AirNow,370670030,3,9.4,ug/m3 LC,39,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-31,2022-01-31,AirNow,370670022,3,9.4,ug/m3 LC,39,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-04,2022-01-04,AirNow,370670030,3,9,ug/m3 LC,38,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-05,2022-01-05,AirNow,370670030,3,9,ug/m3 LC,38,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-14,2022-02-14,AirNow,370670030,3,9,ug/m3 LC,38,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-22,2022-02-22,AirNow,370670022,3,9.1,ug/m3 LC,38,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-27,2022-02-27,AirNow,370670030,3,9,ug/m3 LC,38,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-15,2022-02-15,AirNow,370670022,3,8.9,ug/m3 LC,37,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-08,2022-02-08,AirNow,370670022,3,8.7,ug/m3 LC,36,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-09,2022-02-09,AirNow,370670022,3,8.7,ug/m3 LC,36,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-17,2022-02-17,AirNow,370670030,3,8.6,ug/m3 LC,36,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-09,2022-01-09,AirNow,370670022,3,8.5,ug/m3 LC,35,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-14,2022-01-14,AirNow,370670022,3,8.3,ug/m3 LC,35,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-06,2022-02-06,AirNow,370670030,3,8.3,ug/m3 LC,35,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-16,2022-02-16,AirNow,370670022,3,8.3,ug/m3 LC,35,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-01,2022-01-01,AirNow,370670030,3,8.1,ug/m3 LC,34,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-20,2022-01-20,AirNow,370670022,3,8.2,ug/m3 LC,34,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-24,2022-01-24,AirNow,370670022,3,8.1,ug/m3 LC,34,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-11,2022-02-11,AirNow,370670022,3,8.2,ug/m3 LC,34,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-17,2022-02-17,AirNow,370670022,3,8.1,ug/m3 LC,34,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-12,2022-01-12,AirNow,370670022,3,7.8,ug/m3 LC,33,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-18,2022-01-18,AirNow,370670030,3,7.9,ug/m3 LC,33,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-09,2022-02-09,AirNow,370670030,3,8,ug/m3 LC,33,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-21,2022-02-21,AirNow,370670022,3,7.9,ug/m3 LC,33,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-24,2022-02-24,AirNow,370670030,3,7.8,ug/m3 LC,33,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-26,2022-01-26,AirNow,370670030,3,7.6,ug/m3 LC,32,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-27,2022-02-27,AirNow,370670022,3,7.6,ug/m3 LC,32,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-28,2022-02-28,AirNow,370670030,3,7.6,ug/m3 LC,32,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-04,2022-01-04,AirNow,370670022,3,7.4,ug/m3 LC,31,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-08,2022-01-08,AirNow,370670022,3,7.5,ug/m3 LC,31,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-30,2022-01-30,AirNow,370670022,3,7.5,ug/m3 LC,31,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-05,2022-01-05,AirNow,370670022,3,7.3,ug/m3 LC,30,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-06,2022-02-06,AirNow,370670022,3,7.2,ug/m3 LC,30,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-07,2022-02-07,AirNow,370670022,3,7.3,ug/m3 LC,30,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-14,2022-02-14,AirNow,370670022,3,7.3,ug/m3 LC,30,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-01,2022-01-01,AirNow,370670022,3,7,ug/m3 LC,29,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-06,2022-01-06,AirNow,370670022,3,6.9,ug/m3 LC,29,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-18,2022-01-18,AirNow,370670022,3,6.6,ug/m3 LC,28,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-13,2022-02-13,AirNow,370670030,3,6.7,ug/m3 LC,28,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-17,2022-01-17,AirNow,370670030,3,6.4,ug/m3 LC,27,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-16,2022-01-16,AirNow,370670030,3,6.3,ug/m3 LC,26,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-26,2022-01-26,AirNow,370670022,3,6.2,ug/m3 LC,26,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-10,2022-02-10,AirNow,370670030,3,6.3,ug/m3 LC,26,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-26,2022-02-26,AirNow,370670030,3,6.3,ug/m3 LC,26,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-13,2022-02-13,AirNow,370670022,3,6,ug/m3 LC,25,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-24,2022-02-24,AirNow,370670022,3,5.9,ug/m3 LC,25,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-25,2022-02-25,AirNow,370670030,3,6,ug/m3 LC,25,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-26,2022-02-26,AirNow,370670022,3,6.1,ug/m3 LC,25,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-11,2022-01-11,AirNow,370670030,3,5.7,ug/m3 LC,24,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
